exposure,predicted_mean,ci_low,ci_high
14.237342026056442,8006.546677735709,7072.285471077852,8940.807884393565
14.322222208163332,8005.747924801728,7039.12887486323,8972.366974740227
14.407102390270225,8004.949171867747,7005.486769989626,9004.411573745869
14.491982572377115,8004.150418933767,6971.405475853569,9036.895362013964
14.576862754484006,8003.351665999786,6936.926112211213,9069.777219788359
14.661742936590898,8002.552913065805,6902.085228072483,9103.020598059127
14.746623118697787,8001.754160131824,6866.915356917181,9136.592963346468
14.831503300804679,8000.955407197844,6831.445504514458,9170.46530988123
14.91638348291157,8000.156654263863,6795.701576108959,9204.611732418767
15.00126366501846,7999.357901329882,6759.706749699904,9239.00905295986
15.086143847125351,7998.5591483959015,6723.481801797775,9273.636494994029
15.171024029232242,7997.760395461921,6687.045391540894,9308.475399382947
15.255904211339132,7996.96164252794,6650.414308482297,9343.508976573583
15.340784393446025,7996.162889593961,6613.603688773626,9378.722090414296
15.425664575552915,7995.36413665998,6576.627203910909,9414.101069409053
15.510544757659806,7994.565383726,6539.497225684835,9449.633541767165
15.595424939766698,7993.766630792019,6502.224970505533,9485.308291078505
15.680305121873587,7992.967877858038,6464.820625849654,9521.115129866423
15.765185303980479,7992.1691249240575,6427.293461205951,9557.044788642164
15.85006548608737,7991.370371990077,6389.6519255709345,9593.088818409218
15.93494566819426,7990.571619056096,6351.903733263704,9629.239504848487
16.019825850301153,7989.772866122115,6314.055939585584,9665.489792658645
16.104706032408043,7988.974113188135,6276.115007639599,9701.83321873667
16.189586214514932,7988.175360254154,6238.086867444201,9738.263853064107
16.274466396621825,7987.376607320173,6199.976968320301,9774.776246320045
16.359346578728715,7986.5778543861925,6161.790325397213,9811.365383375172
16.444226760835605,7985.779101452212,6123.5315609688605,9848.026641935563
16.529106942942498,7984.980348518231,6085.204941333297,9884.755755703165
16.613987125049388,7984.18159558425,6046.814409664439,9921.548781504061
16.698867307156277,7983.38284265027,6008.363615392273,9958.402069908267
16.78374748926317,7982.584089716289,5969.855940505743,9995.312238926836
16.86862767137006,7981.785336782308,5931.294523138906,10032.27615042571
16.95350785347695,7980.986583848327,5892.682278754537,10069.290888942118
17.038388035583843,7980.187830914347,5854.021919199953,10106.35374262874
17.123268217690732,7979.389077980366,5815.315969874932,10143.462186085799
17.208148399797622,7978.590325046385,5776.566785222229,10180.613864870542
17.293028581904515,7977.791572112406,5737.776562725174,10217.806581499639
17.377908764011405,7976.992819178426,5698.9473555745435,10255.038282782309
17.462788946118295,7976.194066244445,5660.08108414747,10292.30704834142
17.547669128225188,7975.395313310464,5621.179546424202,10329.611080196726
17.63254931033208,7974.5965603764835,5582.2444274538775,10366.94869329909
17.717429492438967,7973.797807442503,5543.277307967424,10404.318306917581
17.80230967454586,7972.999054508522,5504.279672224739,10441.718436792304
